stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\C(__)P~1\_C__~1\GAMEEN~1\MakaiLib\bin\Debug\allegro5.cfg r
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00049] added dtor for timer 00000000001e5870, func 00007ffa69670dc2
dtor     D               dtor.c:196  _al_register_destructor          [   0.00082] added dtor for queue 00000000001e5a60, func 00007ffa6965cc4e
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00132] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00162] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.14274] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.52769] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.52895] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.52919] al_display=00000000001e6ee0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.52944] al_display->vt=00000000001e6000
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.58781] found 64 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.58809] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.58840] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.58866] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.58893] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.58917] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.58942] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.58965] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.58997] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59019] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59046] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59070] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59096] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59121] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59151] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59176] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59207] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59223] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59245] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59277] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59303] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59325] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59348] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59367] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59389] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59410] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59432] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59451] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59473] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59493] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59515] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.59806] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.59930] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.60015] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.60140] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.60238] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.60353] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.60625] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.60742] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.60836] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.60975] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.61071] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.61189] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.61281] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.61441] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.61536] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.61652] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.61742] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.61851] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.61939] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.62057] Single Buffer requirement not met.
