stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\C(++) Projects\_C++\Game Engine\MakaiLib\bin\Debug\allegro5.cfg r
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00227] added dtor for timer 0000000000dc3930, func 00007ffd747c0dc2
dtor     D               dtor.c:196  _al_register_destructor          [   0.00297] added dtor for queue 0000000000dc3a40, func 00007ffd747acc4e
dtor     D               dtor.c:196  _al_register_destructor          [   0.00330] added dtor for bitmap 0000000000dc3bc0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00402] added dtor for bitmap 0000000000da8010, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00551] added dtor for bitmap 0000000000df7b00, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00571] added dtor for sub_bitmap 0000000000e2b2c0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00573] added dtor for sub_bitmap 0000000000e2b480, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00575] added dtor for sub_bitmap 0000000000e2b640, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00577] added dtor for sub_bitmap 0000000000e2b800, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00579] added dtor for sub_bitmap 0000000000e2b9c0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00581] added dtor for sub_bitmap 0000000000e2bb80, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00599] added dtor for sub_bitmap 0000000000e2bd40, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00622] added dtor for sub_bitmap 0000000000da81d0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00626] added dtor for sub_bitmap 0000000000da8390, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00633] added dtor for sub_bitmap 0000000000da8550, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00636] added dtor for sub_bitmap 0000000000da8710, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00639] added dtor for sub_bitmap 0000000000da88d0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00641] added dtor for sub_bitmap 0000000000da8a90, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00643] added dtor for sub_bitmap 0000000000da8c50, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00647] added dtor for sub_bitmap 0000000000da93a0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00649] added dtor for sub_bitmap 0000000000da9020, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00651] added dtor for sub_bitmap 0000000000da91e0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00653] added dtor for sub_bitmap 0000000000da9560, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00655] added dtor for sub_bitmap 0000000000da9720, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00662] added dtor for sub_bitmap 0000000000da9aa0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00664] added dtor for sub_bitmap 0000000000da98e0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00666] added dtor for sub_bitmap 0000000000da8e60, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00670] added dtor for sub_bitmap 0000000000dab210, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00675] added dtor for sub_bitmap 0000000000dab590, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00678] added dtor for sub_bitmap 0000000000daca90, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00680] added dtor for sub_bitmap 0000000000dabe50, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00681] added dtor for sub_bitmap 0000000000dabad0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00683] added dtor for sub_bitmap 0000000000dabc90, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00685] added dtor for sub_bitmap 0000000000dac010, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00687] added dtor for sub_bitmap 0000000000dab750, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00689] added dtor for sub_bitmap 0000000000dab910, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00691] added dtor for sub_bitmap 0000000000dac550, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00694] added dtor for sub_bitmap 0000000000dac1d0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00696] added dtor for sub_bitmap 0000000000dac8d0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00699] added dtor for sub_bitmap 0000000000dac390, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00705] added dtor for sub_bitmap 0000000000dac710, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00707] added dtor for sub_bitmap 0000000000dacc50, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00709] added dtor for sub_bitmap 0000000000daae90, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00711] added dtor for sub_bitmap 0000000000dab050, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00713] added dtor for sub_bitmap 0000000000dab3d0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00715] added dtor for sub_bitmap 0000000000dae020, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00717] added dtor for sub_bitmap 0000000000dad220, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00719] added dtor for sub_bitmap 0000000000dad3e0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00721] added dtor for sub_bitmap 0000000000dad5a0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00724] added dtor for sub_bitmap 0000000000dae8e0, func 00007ffd74781bf8
